Row Type,Action,Keyword status,Level,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Negative keyword,Type
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,treatment,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,medication,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Fasting Glucose,,,,medication,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Type 3 Diabetes,,,,medication,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,prescription,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | A1C Education,,,,prescription,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,prescription,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Fasting Glucose,,,,prescription,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Type 3 Diabetes,,,,prescription,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,dosage,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | A1C Education,,,,dosage,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,dosage,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Fasting Glucose,,,,dosage,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Type 3 Diabetes,,,,dosage,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,metformin,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | A1C Education,,,,metformin,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,metformin,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Fasting Glucose,,,,metformin,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Type 3 Diabetes,,,,metformin,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,ozempic,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | A1C Education,,,,ozempic,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,ozempic,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Fasting Glucose,,,,ozempic,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Type 3 Diabetes,,,,ozempic,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,mounjaro,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | A1C Education,,,,mounjaro,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,mounjaro,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Fasting Glucose,,,,mounjaro,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Type 3 Diabetes,,,,mounjaro,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,semaglutide,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | A1C Education,,,,semaglutide,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,semaglutide,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Fasting Glucose,,,,semaglutide,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Type 3 Diabetes,,,,semaglutide,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,supplement,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | A1C Education,,,,supplement,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,supplement,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Fasting Glucose,,,,supplement,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Type 3 Diabetes,,,,supplement,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,supplements,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | A1C Education,,,,supplements,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,supplements,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Fasting Glucose,,,,supplements,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Type 3 Diabetes,,,,supplements,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,doctor near me,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | A1C Education,,,,doctor near me,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,doctor near me,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Fasting Glucose,,,,doctor near me,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Type 3 Diabetes,,,,doctor near me,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,clinic near me,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | A1C Education,,,,clinic near me,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,clinic near me,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Fasting Glucose,,,,clinic near me,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Type 3 Diabetes,,,,clinic near me,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,endocrinologist near me,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | A1C Education,,,,endocrinologist near me,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,endocrinologist near me,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Fasting Glucose,,,,endocrinologist near me,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Type 3 Diabetes,,,,endocrinologist near me,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,jobs,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | A1C Education,,,,jobs,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,jobs,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Fasting Glucose,,,,jobs,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Type 3 Diabetes,,,,jobs,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Insulin Resistance,,,,salary,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | A1C Education,,,,salary,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Post-Meal Blood Sugar,,,,salary,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Fasting Glucose,,,,salary,Phrase match
Negative keyword,Add,Paused,Campaign,,MD | Search | Type 3 Diabetes,,,,salary,Phrase match
