Row Type,Action,Keyword status,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Keyword,Type,Label,Default max. CPC,Max. CPV,Final URL,Mobile final URL,Final URL suffix,Tracking template,Custom parameter
Keyword,Add,Paused,,MD | Search | Insulin Resistance,,Insulin Resistance Education,,what is insulin resistance,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/insulin-resistance,,,,
Keyword,Add,Paused,,MD | Search | A1C Education,,A1C Education,,a1c and blood sugar,Exact match,,,,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,,
Keyword,Add,Paused,,MD | Search | A1C Education,,A1C Education,,understanding a1c results,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,,
Keyword,Add,Paused,,MD | Search | A1C Education,,A1C Education,,understanding a1c results,Exact match,,,,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,,
Keyword,Add,Paused,,MD | Search | A1C Education,,A1C Education,,a1c blood test meaning,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,,
Keyword,Add,Paused,,MD | Search | A1C Education,,A1C Education,,a1c blood test meaning,Exact match,,,,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,,
Keyword,Add,Paused,,MD | Search | A1C Education,,A1C Education,,learn about a1c,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,,
Keyword,Add,Paused,,MD | Search | A1C Education,,A1C Education,,learn about a1c,Exact match,,,,https://www.mindfuldiabetes.ai/resources/understanding-a1c,,,,
Keyword,Add,Paused,,MD | Search | Post-Meal Blood Sugar,,Post-Meal Blood Sugar Education,,blood sugar after eating,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,,
Keyword,Add,Paused,,MD | Search | Post-Meal Blood Sugar,,Post-Meal Blood Sugar Education,,blood sugar after eating,Exact match,,,,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,,
Keyword,Add,Paused,,MD | Search | Post-Meal Blood Sugar,,Post-Meal Blood Sugar Education,,post meal blood sugar,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,,
Keyword,Add,Paused,,MD | Search | Post-Meal Blood Sugar,,Post-Meal Blood Sugar Education,,post meal blood sugar,Exact match,,,,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,,
Keyword,Add,Paused,,MD | Search | Post-Meal Blood Sugar,,Post-Meal Blood Sugar Education,,post meal glucose explained,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,,
Keyword,Add,Paused,,MD | Search | Post-Meal Blood Sugar,,Post-Meal Blood Sugar Education,,post meal glucose explained,Exact match,,,,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,,
Keyword,Add,Paused,,MD | Search | Post-Meal Blood Sugar,,Post-Meal Blood Sugar Education,,why blood sugar rises after eating,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,,
Keyword,Add,Paused,,MD | Search | Post-Meal Blood Sugar,,Post-Meal Blood Sugar Education,,why blood sugar rises after eating,Exact match,,,,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,,
Keyword,Add,Paused,,MD | Search | Post-Meal Blood Sugar,,Post-Meal Blood Sugar Education,,what affects blood sugar after meals,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,,
Keyword,Add,Paused,,MD | Search | Post-Meal Blood Sugar,,Post-Meal Blood Sugar Education,,what affects blood sugar after meals,Exact match,,,,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,,
Keyword,Add,Paused,,MD | Search | Post-Meal Blood Sugar,,Post-Meal Blood Sugar Education,,glucose response after eating,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,,
Keyword,Add,Paused,,MD | Search | Post-Meal Blood Sugar,,Post-Meal Blood Sugar Education,,glucose response after eating,Exact match,,,,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,,
Keyword,Add,Paused,,MD | Search | Post-Meal Blood Sugar,,Post-Meal Blood Sugar Education,,food and blood sugar response,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,,
Keyword,Add,Paused,,MD | Search | Post-Meal Blood Sugar,,Post-Meal Blood Sugar Education,,food and blood sugar response,Exact match,,,,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,,
Keyword,Add,Paused,,MD | Search | Post-Meal Blood Sugar,,Post-Meal Blood Sugar Education,,post meal glucose patterns,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,,
Keyword,Add,Paused,,MD | Search | Post-Meal Blood Sugar,,Post-Meal Blood Sugar Education,,post meal glucose patterns,Exact match,,,,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,,,,
Keyword,Add,Paused,,MD | Search | Fasting Glucose,,Fasting Glucose Education,,what is fasting glucose,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,,
Keyword,Add,Paused,,MD | Search | Fasting Glucose,,Fasting Glucose Education,,what is fasting glucose,Exact match,,,,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,,
Keyword,Add,Paused,,MD | Search | Fasting Glucose,,Fasting Glucose Education,,fasting glucose explained,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,,
Keyword,Add,Paused,,MD | Search | Fasting Glucose,,Fasting Glucose Education,,fasting glucose explained,Exact match,,,,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,,
Keyword,Add,Paused,,MD | Search | Fasting Glucose,,Fasting Glucose Education,,what does fasting glucose mean,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,,
Keyword,Add,Paused,,MD | Search | Fasting Glucose,,Fasting Glucose Education,,what does fasting glucose mean,Exact match,,,,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,,
Keyword,Add,Paused,,MD | Search | Fasting Glucose,,Fasting Glucose Education,,fasting blood sugar explained,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,,
Keyword,Add,Paused,,MD | Search | Fasting Glucose,,Fasting Glucose Education,,fasting blood sugar explained,Exact match,,,,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,,
Keyword,Add,Paused,,MD | Search | Fasting Glucose,,Fasting Glucose Education,,how fasting glucose works,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,,
Keyword,Add,Paused,,MD | Search | Fasting Glucose,,Fasting Glucose Education,,how fasting glucose works,Exact match,,,,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,,
Keyword,Add,Paused,,MD | Search | Fasting Glucose,,Fasting Glucose Education,,morning blood sugar explained,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,,
Keyword,Add,Paused,,MD | Search | Fasting Glucose,,Fasting Glucose Education,,morning blood sugar explained,Exact match,,,,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,,
Keyword,Add,Paused,,MD | Search | Fasting Glucose,,Fasting Glucose Education,,fasting glucose and a1c,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,,
Keyword,Add,Paused,,MD | Search | Fasting Glucose,,Fasting Glucose Education,,fasting glucose and a1c,Exact match,,,,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,,
Keyword,Add,Paused,,MD | Search | Fasting Glucose,,Fasting Glucose Education,,learn about fasting glucose,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,,
Keyword,Add,Paused,,MD | Search | Fasting Glucose,,Fasting Glucose Education,,learn about fasting glucose,Exact match,,,,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,,,,
Keyword,Add,Paused,,MD | Search | Type 3 Diabetes,,Type 3 Diabetes Research Education,,what is type 3 diabetes,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/type-3-diabetes,,,,
Keyword,Add,Paused,,MD | Search | Type 3 Diabetes,,Type 3 Diabetes Research Education,,what is type 3 diabetes,Exact match,,,,https://www.mindfuldiabetes.ai/resources/type-3-diabetes,,,,
Keyword,Add,Paused,,MD | Search | Type 3 Diabetes,,Type 3 Diabetes Research Education,,type 3 diabetes meaning,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/type-3-diabetes,,,,
Keyword,Add,Paused,,MD | Search | Type 3 Diabetes,,Type 3 Diabetes Research Education,,type 3 diabetes meaning,Exact match,,,,https://www.mindfuldiabetes.ai/resources/type-3-diabetes,,,,
Keyword,Add,Paused,,MD | Search | Type 3 Diabetes,,Type 3 Diabetes Research Education,,type 3 diabetes explained,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/type-3-diabetes,,,,
Keyword,Add,Paused,,MD | Search | Type 3 Diabetes,,Type 3 Diabetes Research Education,,type 3 diabetes explained,Exact match,,,,https://www.mindfuldiabetes.ai/resources/type-3-diabetes,,,,
Keyword,Add,Paused,,MD | Search | Type 3 Diabetes,,Type 3 Diabetes Research Education,,type 3 diabetes alzheimers,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/type-3-diabetes,,,,
Keyword,Add,Paused,,MD | Search | Type 3 Diabetes,,Type 3 Diabetes Research Education,,type 3 diabetes alzheimers,Exact match,,,,https://www.mindfuldiabetes.ai/resources/type-3-diabetes,,,,
Keyword,Add,Paused,,MD | Search | Type 3 Diabetes,,Type 3 Diabetes Research Education,,brain insulin resistance,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/type-3-diabetes,,,,
Keyword,Add,Paused,,MD | Search | Type 3 Diabetes,,Type 3 Diabetes Research Education,,brain insulin resistance,Exact match,,,,https://www.mindfuldiabetes.ai/resources/type-3-diabetes,,,,
Keyword,Add,Paused,,MD | Search | Type 3 Diabetes,,Type 3 Diabetes Research Education,,insulin resistance and brain,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/type-3-diabetes,,,,
Keyword,Add,Paused,,MD | Search | Type 3 Diabetes,,Type 3 Diabetes Research Education,,insulin resistance and brain,Exact match,,,,https://www.mindfuldiabetes.ai/resources/type-3-diabetes,,,,
Keyword,Add,Paused,,MD | Search | Type 3 Diabetes,,Type 3 Diabetes Research Education,,metabolic health and brain health,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/type-3-diabetes,,,,
Keyword,Add,Paused,,MD | Search | Type 3 Diabetes,,Type 3 Diabetes Research Education,,metabolic health and brain health,Exact match,,,,https://www.mindfuldiabetes.ai/resources/type-3-diabetes,,,,
Keyword,Add,Paused,,MD | Search | Type 3 Diabetes,,Type 3 Diabetes Research Education,,type 3 diabetes research,Phrase match,,,,https://www.mindfuldiabetes.ai/resources/type-3-diabetes,,,,
Keyword,Add,Paused,,MD | Search | Type 3 Diabetes,,Type 3 Diabetes Research Education,,type 3 diabetes research,Exact match,,,,https://www.mindfuldiabetes.ai/resources/type-3-diabetes,,,,
