Campaign,Ad group,Keyword,Match type,Status,Final URL
MD | Search | Insulin Resistance,Insulin Resistance Education,what is insulin resistance,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/insulin-resistance
MD | Search | Post-Meal Blood Sugar,Post-Meal Blood Sugar Education,post meal glucose explained,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Post-Meal Blood Sugar,Post-Meal Blood Sugar Education,post meal glucose explained,Exact,Paused,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Post-Meal Blood Sugar,Post-Meal Blood Sugar Education,why blood sugar rises after eating,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Post-Meal Blood Sugar,Post-Meal Blood Sugar Education,why blood sugar rises after eating,Exact,Paused,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Post-Meal Blood Sugar,Post-Meal Blood Sugar Education,what affects blood sugar after meals,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Post-Meal Blood Sugar,Post-Meal Blood Sugar Education,what affects blood sugar after meals,Exact,Paused,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Post-Meal Blood Sugar,Post-Meal Blood Sugar Education,glucose response after eating,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Post-Meal Blood Sugar,Post-Meal Blood Sugar Education,glucose response after eating,Exact,Paused,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Post-Meal Blood Sugar,Post-Meal Blood Sugar Education,food and blood sugar response,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Post-Meal Blood Sugar,Post-Meal Blood Sugar Education,food and blood sugar response,Exact,Paused,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Post-Meal Blood Sugar,Post-Meal Blood Sugar Education,post meal glucose patterns,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Post-Meal Blood Sugar,Post-Meal Blood Sugar Education,post meal glucose patterns,Exact,Paused,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar
MD | Search | Fasting Glucose,Fasting Glucose Education,what is fasting glucose,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Fasting Glucose,Fasting Glucose Education,what is fasting glucose,Exact,Paused,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Fasting Glucose,Fasting Glucose Education,fasting glucose explained,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Fasting Glucose,Fasting Glucose Education,fasting glucose explained,Exact,Paused,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Fasting Glucose,Fasting Glucose Education,what does fasting glucose mean,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Fasting Glucose,Fasting Glucose Education,what does fasting glucose mean,Exact,Paused,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Fasting Glucose,Fasting Glucose Education,fasting blood sugar explained,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Fasting Glucose,Fasting Glucose Education,fasting blood sugar explained,Exact,Paused,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Fasting Glucose,Fasting Glucose Education,how fasting glucose works,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Fasting Glucose,Fasting Glucose Education,how fasting glucose works,Exact,Paused,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Fasting Glucose,Fasting Glucose Education,morning blood sugar explained,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Fasting Glucose,Fasting Glucose Education,morning blood sugar explained,Exact,Paused,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Fasting Glucose,Fasting Glucose Education,fasting glucose and a1c,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Fasting Glucose,Fasting Glucose Education,fasting glucose and a1c,Exact,Paused,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Fasting Glucose,Fasting Glucose Education,learn about fasting glucose,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Fasting Glucose,Fasting Glucose Education,learn about fasting glucose,Exact,Paused,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics
MD | Search | Type 3 Diabetes,Type 3 Diabetes Research Education,what is type 3 diabetes,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/type-3-diabetes
MD | Search | Type 3 Diabetes,Type 3 Diabetes Research Education,what is type 3 diabetes,Exact,Paused,https://www.mindfuldiabetes.ai/resources/type-3-diabetes
MD | Search | Type 3 Diabetes,Type 3 Diabetes Research Education,type 3 diabetes meaning,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/type-3-diabetes
MD | Search | Type 3 Diabetes,Type 3 Diabetes Research Education,type 3 diabetes meaning,Exact,Paused,https://www.mindfuldiabetes.ai/resources/type-3-diabetes
MD | Search | Type 3 Diabetes,Type 3 Diabetes Research Education,type 3 diabetes explained,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/type-3-diabetes
MD | Search | Type 3 Diabetes,Type 3 Diabetes Research Education,type 3 diabetes explained,Exact,Paused,https://www.mindfuldiabetes.ai/resources/type-3-diabetes
MD | Search | Type 3 Diabetes,Type 3 Diabetes Research Education,type 3 diabetes alzheimers,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/type-3-diabetes
MD | Search | Type 3 Diabetes,Type 3 Diabetes Research Education,type 3 diabetes alzheimers,Exact,Paused,https://www.mindfuldiabetes.ai/resources/type-3-diabetes
MD | Search | Type 3 Diabetes,Type 3 Diabetes Research Education,brain insulin resistance,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/type-3-diabetes
MD | Search | Type 3 Diabetes,Type 3 Diabetes Research Education,brain insulin resistance,Exact,Paused,https://www.mindfuldiabetes.ai/resources/type-3-diabetes
MD | Search | Type 3 Diabetes,Type 3 Diabetes Research Education,insulin resistance and brain,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/type-3-diabetes
MD | Search | Type 3 Diabetes,Type 3 Diabetes Research Education,insulin resistance and brain,Exact,Paused,https://www.mindfuldiabetes.ai/resources/type-3-diabetes
MD | Search | Type 3 Diabetes,Type 3 Diabetes Research Education,metabolic health and brain health,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/type-3-diabetes
MD | Search | Type 3 Diabetes,Type 3 Diabetes Research Education,metabolic health and brain health,Exact,Paused,https://www.mindfuldiabetes.ai/resources/type-3-diabetes
MD | Search | Type 3 Diabetes,Type 3 Diabetes Research Education,type 3 diabetes research,Phrase,Paused,https://www.mindfuldiabetes.ai/resources/type-3-diabetes
MD | Search | Type 3 Diabetes,Type 3 Diabetes Research Education,type 3 diabetes research,Exact,Paused,https://www.mindfuldiabetes.ai/resources/type-3-diabetes
